, "id", "k", "i", "j", "f", "Active"
561, 561, 1, 29, 1, 6.8, 1
562, 562, 1, 29, 2, 6.6, 1
563, 563, 1, 29, 3, 6.5, 1
564, 564, 1, 29, 4, 6.3, 1
565, 565, 1, 29, 5, 6.2, 1
566, 566, 1, 29, 6, 6.0, 1
567, 567, 1, 29, 7, 5.8, 1
568, 568, 1, 29, 8, 5.4, 1
569, 569, 1, 29, 9, 4.6, 1
570, 570, 1, 29, 10, 3.7, 1
571, 571, 1, 29, 11, 2.9, 1
572, 572, 1, 29, 12, 2.2, 1
573, 573, 1, 29, 13, 1.7, 1
574, 574, 1, 29, 14, 1.4, 1
575, 575, 1, 29, 15, 1.1, 1
576, 576, 1, 29, 16, 0.9, 1
577, 577, 1, 29, 17, 0.9, 1
578, 578, 1, 29, 18, 0.9, 1
579, 579, 1, 29, 19, 1.0, 1
580, 580, 1, 29, 20, 1.1, 1
581, 581, 1, 30, 1, 6.6, 1
582, 582, 1, 30, 2, 6.4, 1
583, 583, 1, 30, 3, 6.3, 1
584, 584, 1, 30, 4, 6.1, 1
585, 585, 1, 30, 5, 5.9, 1
586, 586, 1, 30, 6, 5.7, 1
587, 587, 1, 30, 7, 5.4, 1
588, 588, 1, 30, 8, 5.0, 1
589, 589, 1, 30, 9, 4.3, 1
590, 590, 1, 30, 10, 3.5, 1
591, 591, 1, 30, 11, 2.7, 1
592, 592, 1, 30, 12, 2.1, 1
593, 593, 1, 30, 13, 1.6, 1
594, 594, 1, 30, 14, 1.2, 1
595, 595, 1, 30, 15, 0.9, 1
596, 596, 1, 30, 16, 0.8, 1
597, 597, 1, 30, 17, 0.7, 1
598, 598, 1, 30, 18, 0.7, 1
599, 599, 1, 30, 19, 0.8, 1
600, 600, 1, 30, 20, 1.0, 1
601, 601, 1, 31, 1, 6.4, 1
602, 602, 1, 31, 2, 6.2, 1
603, 603, 1, 31, 3, 6.1, 1
604, 604, 1, 31, 4, 5.9, 1
605, 605, 1, 31, 5, 5.7, 1
606, 606, 1, 31, 6, 5.4, 1
607, 607, 1, 31, 7, 5.0, 1
608, 608, 1, 31, 8, 4.5, 1
609, 609, 1, 31, 9, 3.9, 1
610, 610, 1, 31, 10, 3.2, 1
611, 611, 1, 31, 11, 2.4, 1
612, 612, 1, 31, 12, 1.8, 1
613, 613, 1, 31, 13, 1.3, 1
614, 614, 1, 31, 14, 1.0, 1
615, 615, 1, 31, 15, 0.7, 1
616, 616, 1, 31, 16, 0.6, 1
617, 617, 1, 31, 17, 0.5, 1
618, 618, 1, 31, 18, 0.6, 1
619, 619, 1, 31, 19, 0.7, 1
620, 620, 1, 31, 20, 0.9, 1
621, 621, 1, 32, 1, 6.2, 1
622, 622, 1, 32, 2, 6.0, 1
623, 623, 1, 32, 3, 5.9, 1
624, 624, 1, 32, 4, 5.7, 1
625, 625, 1, 32, 5, 5.4, 1
626, 626, 1, 32, 6, 5.1, 1
627, 627, 1, 32, 7, 4.7, 1
628, 628, 1, 32, 8, 4.2, 1
629, 629, 1, 32, 9, 3.5, 1
630, 630, 1, 32, 10, 2.8, 1
631, 631, 1, 32, 11, 2.1, 1
632, 632, 1, 32, 12, 1.4, 1
633, 633, 1, 32, 13, 1.0, 1
634, 634, 1, 32, 14, 0.7, 1
635, 635, 1, 32, 15, 0.5, 1
