time,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
32313.50000000,-17.11300000,-16.50188461,-19.89149345,-34.79564557,-44.63594798,-44.64110000,-44.63215275,-36.49472720,-24.47280103,-36.00376622,-44.64110000,-45.13468129,-45.29520000,-45.31344509
32314.50000000,-17.11335000,-16.50259695,-19.89251648,-34.79651513,-44.58918086,-44.59430000,-44.58543554,-36.49571850,-24.47430123,-36.00478724,-44.59430000,-45.10321651,-45.28455000,-45.29969560
32315.50000000,-17.11380000,-16.50330924,-19.89353946,-34.79737205,-44.54246679,-44.54755000,-44.53877698,-36.49669650,-24.47580138,-36.00579634,-44.54755000,-45.07021096,-45.24950000,-45.27512769
32316.50000000,-17.11425000,-16.50402149,-19.89456240,-34.79821631,-44.49570763,-44.50075000,-44.49208512,-36.49766122,-24.47730145,-36.00679353,-44.50075000,-45.03467681,-45.19920000,-45.23775985
32317.50000000,-17.11455000,-16.50473363,-19.89558529,-34.79904794,-44.44894673,-44.45395000,-44.44538814,-36.49861264,-24.47880146,-36.00777880,-44.45395000,-44.99865612,-45.16875000,-45.20413047
32318.50000000,-17.11485000,-16.50544566,-19.89660813,-34.79986693,-44.40223327,-44.40720000,-44.39873260,-36.49955080,-24.48030140,-36.00875218,-44.40720000,-44.96383832,-45.15805000,-45.18208081
32319.50000000,-17.11530000,-16.50615765,-19.89763093,-34.80067329,-44.35547430,-44.36040000,-44.35204113,-36.50047567,-24.48180126,-36.00971364,-44.36040000,-44.92926885,-45.13825000,-45.16100844
32320.50000000,-17.11575000,-16.50686958,-19.89865367,-34.80146698,-44.30857084,-44.31345000,-44.30521738,-36.50138723,-24.48330106,-36.01066317,-44.31345000,-44.89514235,-45.12150000,-45.14201269
32321.50000000,-17.11605000,-16.50758141,-19.89967636,-34.80224804,-44.26180371,-44.26665000,-44.25850010,-36.50228552,-24.48480078,-36.01160080,-44.26665000,-44.86189031,-45.11080000,-45.12709684
32322.50000000,-17.11650000,-16.50829320,-19.90069900,-34.80301649,-44.21504207,-44.21985000,-44.21179911,-36.50317055,-24.48630042,-36.01252653,-44.21985000,-44.82874661,-45.09250000,-45.11037245
32323.50000000,-17.11695000,-16.50900493,-19.90172158,-34.80377233,-44.16832834,-44.17310000,-44.16514283,-36.50404232,-24.48779999,-36.01344039,-44.17310000,-44.79619744,-45.08030000,-45.09589119
32324.50000000,-17.11740000,-16.50971661,-19.90274411,-34.80451555,-44.12156922,-44.12630000,-44.11845113,-36.50490085,-24.48929948,-36.01434236,-44.12630000,-44.76513552,-45.08030000,-45.08862399
32325.50000000,-17.11785000,-16.51042824,-19.90376658,-34.80524614,-44.07466565,-44.07935000,-44.07162723,-36.50574609,-24.49079889,-36.01523241,-44.07935000,-44.73443158,-45.06965000,-45.07951310
32326.50000000,-17.11830000,-16.51113983,-19.90478899,-34.80596413,-44.02794598,-44.03260000,-44.02495206,-36.50657809,-24.49229822,-36.01611059,-44.03260000,-44.70243120,-45.03920000,-45.05965091
32327.50000000,-17.11875000,-16.51185136,-19.90581135,-34.80666952,-43.98118632,-43.98580000,-43.97825739,-36.50739685,-24.49379746,-36.01697690,-43.98580000,-44.66885058,-45.00260000,-45.03154467
32328.50000000,-17.11925000,-16.51256287,-19.90683364,-34.80736233,-43.93442520,-43.93900000,-43.93155972,-36.50820238,-24.49529662,-36.01783134,-43.93900000,-44.63482775,-44.97670000,-45.00476006
32329.50000000,-17.11975000,-16.51327434,-19.90785588,-34.80804254,-43.88766404,-43.89220000,-43.88486156,-36.50899469,-24.49679569,-36.01867392,-43.89220000,-44.60155465,-44.96455000,-44.98540678
32330.50000000,-17.12020000,-16.51398576,-19.90887805,-34.80871018,-43.84090288,-43.84540000,-43.83816330,-36.50977376,-24.49829467,-36.01950463,-43.84540000,-44.56889752,-44.95235000,-44.96956638
32331.50000000,-17.12080000,-16.51469719,-19.90990016,-34.80936524,-43.79418926,-43.79865000,-43.79150725,-36.51053964,-24.49979356,-36.02032350,-43.79865000,-44.53526371,-44.92185000,-44.94627462
32332.50000000,-17.12140000,-16.51540862,-19.91092220,-34.81000770,-43.74728752,-43.75170000,-43.74468864,-36.51129226,-24.50129236,-36.02113048,-43.75170000,-44.50030521,-44.88525000,-44.91637956
32333.50000000,-17.12185000,-16.51612000,-19.91194418,-34.81063759,-43.70052039,-43.70490000,-43.69797186,-36.51203167,-24.50279107,-36.02192561,-43.70490000,-44.46637282,-44.87460000,-44.89628714
32334.50000000,-17.12230000,-16.51683134,-19.91296609,-34.81125493,-43.65380620,-43.65815000,-43.65131291,-36.51275789,-24.50428968,-36.02270891,-43.65815000,-44.43466015,-44.88070000,-44.88924942
32335.50000000,-17.12290000,-16.51754267,-19.91398793,-34.81185971,-43.60704688,-43.61135000,-43.60462053,-36.51347091,-24.50578820,-36.02348036,-43.61135000,-44.40404290,-44.87765000,-44.88395296
32336.50000000,-17.12350000,-16.51825402,-19.91500971,-34.81245193,-43.56028579,-43.56455000,-43.55792302,-36.51417074,-24.50728661,-36.02423998,-43.56455000,-44.37347306,-44.86395000,-44.87427862
32337.50000000,-17.12410000,-16.51896536,-19.91603141,-34.81303752,-43.53572780,-43.54110000,-43.53095599,-36.51486290,-24.50878493,-36.02499361,-43.54110000,-44.34484887,-44.85020000,-44.86254758
32338.50000000,-17.12470000,-16.51967672,-19.91705305,-34.81362071,-43.52715241,-43.53345000,-43.52036237,-36.51555200,-24.51028315,-36.02574522,-43.53345000,-44.31901213,-44.83495000,-44.84907731
32339.50000000,-17.12530000,-16.52038807,-19.91807462,-34.81419479,-43.49326926,-43.49840000,-43.48912295,-36.51623223,-24.51178127,-36.02648793,-43.49840000,-44.29388835,-44.82735000,-44.83859432
32340.50000000,-17.12595000,-16.52109945,-19.91909611,-34.81476912,-43.49459042,-43.50145000,-43.48691667,-36.51691175,-24.51327929,-36.02723129,-43.50145000,-44.27433977,-44.84260000,-44.84099351
32341.50000000,-17.12660000,-16.52181085,-19.92011754,-34.81534641,-43.50610200,-43.51365000,-43.49688926,-36.51759395,-24.51477721,-36.02797760,-43.51365000,-44.26067814,-44.86395000,-44.85267369
32342.50000000,-17.12735000,-16.52252232,-19.92113889,-34.81592102,-43.49640186,-43.50300000,-43.48941846,-36.51827396,-24.51627503,-36.02872113,-43.50300000,-44.24857182,-44.86700000,-44.85975418
32343.50000000,-17.12810000,-16.52323384,-19.92216017,-34.81650312,-43.52493006,-43.53345000,-43.51400638,-36.51896075,-24.51777276,-36.02947216,-43.53345000,-44.24001339,-44.85630000,-44.85785182
32344.50000000,-17.12870000,-16.52394536,-19.92318139,-34.81709083,-43.54643357,-43.55480000,-43.53581492,-36.51965353,-24.51927038,-36.03022843,-43.55480000,-44.23480077,-44.85935000,-44.85854751
32345.50000000,-17.12930000,-16.52465689,-19.92420253,-34.81766136,-43.48223676,-43.48625000,-43.48123015,-36.52033093,-24.52076790,-36.03096742,-43.48625000,-44.22418516,-44.85175000,-44.85509620
32346.50000000,-17.13005000,-16.52536848,-19.92522360,-34.81820832,-43.39401554,-43.39630000,-43.39686096,-36.52098460,-24.52226532,-36.03168378,-43.39630000,-44.20659862,-44.83495000,-44.84502413
32347.50000000,-17.13080000,-16.52608012,-19.92624460,-34.81873756,-43.32775418,-43.33075000,-43.32854832,-36.52161904,-24.52376263,-36.03238364,-43.33075000,-44.18756912,-44.84715000,-44.84627480
32348.50000000,-17.13140000,-16.52679178,-19.92726552,-34.81924776,-43.25652767,-43.25915000,-43.25758258,-36.52223353,-24.52525983,-36.03306547,-43.25915000,-44.16645724,-44.85480000,-44.85062482
32349.50000000,-17.13220000,-16.52750350,-19.92828637,-34.81974157,-43.19518802,-43.19820000,-43.19520994,-36.52283047,-24.52675693,-36.03373195,-43.19820000,-44.14309936,-44.84565000,-44.84809607
32350.50000000,-17.13300000,-16.52821531,-19.92930713,-34.82022756,-43.16610168,-43.17075000,-43.16246171,-36.52341817,-24.52825391,-36.03439148,-43.17075000,-44.12059475,-44.83650000,-44.84230449
32351.50000000,-17.13375000,-16.52892717,-19.93032782,-34.82071191,-43.16014617,-43.16615000,-43.15355973,-36.52400330,-24.52975078,-36.03504978,-43.16615000,-44.10090038,-44.83040000,-44.83644123
32352.50000000,-17.13450000,-16.52963909,-19.93134842,-34.82118527,-43.11909473,-43.12350000,-43.11615706,-36.52457790,-24.53124754,-36.03569731,-43.12350000,-44.07956511,-44.81365000,-44.82515922
32353.50000000,-17.13525000,-16.53035107,-19.93236895,-34.82164264,-43.05922800,-43.06255000,-43.05892509,-36.52513641,-24.53274418,-36.03632951,-43.06255000,-44.05463009,-44.78775000,-44.80665533
32354.50000000,-17.13600000,-16.53106311,-19.93338940,-34.82208957,-43.02023824,-43.02445000,-43.01796468,-36.52568339,-24.53424071,-36.03695210,-43.02445000,-44.03030165,-44.78315000,-44.79530540
32355.50000000,-17.13675000,-16.53177521,-19.93440976,-34.82253171,-43.00238648,-43.00770000,-42.99753775,-36.52622460,-24.53573712,-36.03757043,-43.00770000,-44.00820962,-44.77855000,-44.78731484
32356.50000000,-17.13750000,-16.53248736,-19.93543004,-34.82297121,-42.99269517,-42.99855000,-42.98667804,-36.52676271,-24.53723342,-36.03818639,-42.99855000,-43.98623586,-44.74505000,-44.76645692
32357.50000000,-17.13830000,-16.53319960,-19.93645023,-34.82340975,-42.98921955,-42.99550000,-42.98243835,-36.52729959,-24.53872959,-36.03880153,-42.99550000,-43.96511011,-44.71460000,-44.74096507
32358.50000000,-17.13910000,-16.53391190,-19.93747035,-34.82384662,-42.98316379,-42.98940000,-42.97663530,-36.52783480,-24.54022565,-36.03941507,-42.98940000,-43.94642894,-44.70850000,-44.72537011
32359.50000000,-17.13985000,-16.53462427,-19.93849038,-34.82428065,-42.97266464,-42.97870000,-42.96670568,-36.52836718,-24.54172159,-36.04002587,-42.97870000,-43.92965699,-44.70545000,-44.71599192
32360.50000000,-17.14060000,-16.53533670,-19.93951033,-34.82471181,-42.96203618,-42.96805000,-42.95618626,-36.52889656,-24.54321741,-36.04063393,-42.96805000,-43.91398650,-44.69630000,-44.70658744
32361.50000000,-17.14135000,-16.53604918,-19.94053020,-34.82514163,-42.95719936,-42.96350000,-42.95073114,-36.52942438,-24.54471312,-36.04124079,-42.96350000,-43.90023572,-44.69325000,-44.70029992
32362.50000000,-17.14210000,-16.53676172,-19.94154998,-34.82557133,-42.95693760,-42.96350000,-42.94989655,-36.52995191,-24.54620871,-36.04184758,-42.96350000,-43.88920617,-44.69935000,-44.70013848
32363.50000000,-17.14285000,-16.53747432,-19.94256968,-34.82599712,-42.94238633,-42.94825000,-42.93688307,-36.53047575,-24.54770417,-36.04245050,-42.94825000,-43.87721328,-44.68105000,-44.69072810
32364.50000000,-17.14360000,-16.53818697,-19.94358929,-34.82641652,-42.91853595,-42.92385000,-42.91427222,-36.53099322,-24.54919952,-36.04304724,-42.92385000,-43.86268897,-44.65055000,-44.67081329
32365.50000000,-17.14420000,-16.53889963,-19.94460882,-34.82682982,-42.89573082,-42.90100000,-42.89150115,-36.53150427,-24.55069475,-36.04363820,-42.90100000,-43.84805835,-44.64295000,-44.65728963
32366.50000000,-17.14500000,-16.53961237,-19.94562827,-34.82723623,-42.87003405,-42.87510000,-42.86612820,-36.53200818,-24.55218986,-36.04422261,-42.87510000,-43.83283794,-44.63230000,-44.64521005
32367.50000000,-17.14580000,-16.54032518,-19.94664763,-34.82763534,-42.84272297,-42.84765000,-42.83904693,-36.53250447,-24.55368484,-36.04480010,-42.84765000,-43.81525690,-44.60030000,-44.62311438
32368.50000000,-17.14655000,-16.54103805,-19.94766690,-34.82802559,-42.80952616,-42.81410000,-42.80654935,-36.53299162,-24.55517970,-36.04536914,-42.81410000,-43.79458879,-44.56065000,-44.59236634
32369.50000000,-17.14730000,-16.54175098,-19.94868608,-34.82840382,-42.76450989,-42.76840000,-42.76295513,-36.53346654,-24.55667444,-36.04592668,-42.76840000,-43.77147320,-44.53470000,-44.56424804
32370.50000000,-17.14790000,-16.54246391,-19.94970518,-34.82877956,-42.75519090,-42.76080000,-42.74985661,-36.53393776,-24.55816905,-36.04648228,-42.76080000,-43.75240942,-44.54540000,-44.55567786
32371.50000000,-17.14865000,-16.54317690,-19.95072419,-34.82915703,-42.76182598,-42.76840000,-42.75427337,-36.53441020,-24.55966354,-36.04703973,-42.76840000,-43.73819151,-44.55915000,-44.55801964
32372.50000000,-17.14940000,-16.54388995,-19.95174311,-34.82952642,-42.73156537,-42.73640000,-42.72791000,-36.53487523,-24.56115790,-36.04758912,-42.73640000,-43.72153682,-44.53320000,-44.54584192
