,0,1,2,3,4,5,6,7,Left0,Left1,Left2,Right0,Right1,Right2
135,"(135, 0, 0)","(135, 0, 99)",1,0.03,0.03,1,90.0,0.06,135,0,0,135,0,99
136,"(136, 0, 0)","(136, 0, 99)",1,0.03,0.03,1,90.0,0.06,136,0,0,136,0,99
137,"(137, 0, 0)","(137, 0, 99)",1,0.03,0.03,1,90.0,0.06,137,0,0,137,0,99
138,"(138, 0, 0)","(138, 0, 99)",1,0.03,0.03,1,90.0,0.06,138,0,0,138,0,99
139,"(139, 0, 0)","(139, 0, 99)",1,0.03,0.03,1,90.0,0.06,139,0,0,139,0,99
140,"(140, 0, 0)","(140, 0, 99)",1,0.03,0.03,1,90.0,0.06,140,0,0,140,0,99
141,"(141, 0, 0)","(141, 0, 99)",1,0.03,0.03,1,90.0,0.06,141,0,0,141,0,99
142,"(142, 0, 0)","(142, 0, 99)",1,0.03,0.03,1,90.0,0.06,142,0,0,142,0,99
143,"(143, 0, 0)","(143, 0, 99)",1,0.03,0.03,1,90.0,0.06,143,0,0,143,0,99
144,"(144, 0, 0)","(144, 0, 99)",1,0.03,0.03,1,90.0,0.06,144,0,0,144,0,99
145,"(145, 0, 0)","(145, 0, 99)",1,0.03,0.03,1,90.0,0.06,145,0,0,145,0,99
146,"(146, 0, 0)","(146, 0, 99)",1,0.03,0.03,1,90.0,0.06,146,0,0,146,0,99
147,"(147, 0, 0)","(147, 0, 99)",1,0.03,0.03,1,90.0,0.06,147,0,0,147,0,99
148,"(148, 0, 0)","(148, 0, 99)",1,0.03,0.03,1,90.0,0.06,148,0,0,148,0,99
149,"(149, 0, 0)","(149, 0, 99)",1,0.03,0.03,1,90.0,0.06,149,0,0,149,0,99
150,"(150, 0, 0)","(150, 0, 99)",1,0.03,0.03,1,90.0,0.06,150,0,0,150,0,99
151,"(151, 0, 0)","(151, 0, 99)",1,0.03,0.03,1,90.0,0.06,151,0,0,151,0,99
152,"(152, 0, 0)","(152, 0, 99)",1,0.03,0.03,1,90.0,0.06,152,0,0,152,0,99
153,"(153, 0, 0)","(153, 0, 99)",1,0.03,0.03,1,90.0,0.06,153,0,0,153,0,99
154,"(154, 0, 0)","(154, 0, 99)",1,0.03,0.03,1,90.0,0.06,154,0,0,154,0,99
155,"(155, 0, 0)","(155, 0, 99)",1,0.03,0.03,1,90.0,0.06,155,0,0,155,0,99
156,"(156, 0, 0)","(156, 0, 99)",1,0.03,0.03,1,90.0,0.06,156,0,0,156,0,99
157,"(157, 0, 0)","(157, 0, 99)",1,0.03,0.03,1,90.0,0.06,157,0,0,157,0,99
158,"(158, 0, 0)","(158, 0, 99)",1,0.03,0.03,1,90.0,0.06,158,0,0,158,0,99
159,"(159, 0, 0)","(159, 0, 99)",1,0.03,0.03,1,90.0,0.06,159,0,0,159,0,99
160,"(160, 0, 0)","(160, 0, 99)",1,0.03,0.03,1,90.0,0.06,160,0,0,160,0,99
161,"(161, 0, 0)","(161, 0, 99)",1,0.03,0.03,1,90.0,0.06,161,0,0,161,0,99
162,"(162, 0, 0)","(162, 0, 99)",1,0.03,0.03,1,90.0,0.06,162,0,0,162,0,99
163,"(163, 0, 0)","(163, 0, 99)",1,0.03,0.03,1,90.0,0.06,163,0,0,163,0,99
164,"(164, 0, 0)","(164, 0, 99)",1,0.03,0.03,1,90.0,0.06,164,0,0,164,0,99
165,"(165, 0, 0)","(165, 0, 99)",1,0.03,0.03,1,90.0,0.06,165,0,0,165,0,99
166,"(166, 0, 0)","(166, 0, 99)",1,0.03,0.03,1,90.0,0.06,166,0,0,166,0,99
167,"(167, 0, 0)","(167, 0, 99)",1,0.03,0.03,1,90.0,0.06,167,0,0,167,0,99
168,"(168, 0, 0)","(168, 0, 99)",1,0.03,0.03,1,90.0,0.06,168,0,0,168,0,99
169,"(169, 0, 0)","(169, 0, 99)",1,0.03,0.03,1,90.0,0.06,169,0,0,169,0,99
170,"(170, 0, 0)","(170, 0, 99)",1,0.03,0.03,1,90.0,0.06,170,0,0,170,0,99
171,"(171, 0, 0)","(171, 0, 99)",1,0.03,0.03,1,90.0,0.06,171,0,0,171,0,99
172,"(172, 0, 0)","(172, 0, 99)",1,0.03,0.03,1,90.0,0.06,172,0,0,172,0,99
173,"(173, 0, 0)","(173, 0, 99)",1,0.03,0.03,1,90.0,0.06,173,0,0,173,0,99
174,"(174, 0, 0)","(174, 0, 99)",1,0.03,0.03,1,90.0,0.06,174,0,0,174,0,99
175,"(175, 0, 0)","(175, 0, 99)",1,0.03,0.03,1,90.0,0.06,175,0,0,175,0,99
176,"(176, 0, 0)","(176, 0, 99)",1,0.03,0.03,1,90.0,0.06,176,0,0,176,0,99
177,"(177, 0, 0)","(177, 0, 99)",1,0.03,0.03,1,90.0,0.06,177,0,0,177,0,99
178,"(178, 0, 0)","(178, 0, 99)",1,0.03,0.03,1,90.0,0.06,178,0,0,178,0,99
179,"(179, 0, 0)","(179, 0, 99)",1,0.03,0.03,1,90.0,0.06,179,0,0,179,0,99
180,"(180, 0, 0)","(180, 0, 99)",1,0.03,0.03,1,90.0,0.06,180,0,0,180,0,99
181,"(181, 0, 0)","(181, 0, 99)",1,0.03,0.03,1,90.0,0.06,181,0,0,181,0,99
182,"(182, 0, 0)","(182, 0, 99)",1,0.03,0.03,1,90.0,0.06,182,0,0,182,0,99
183,"(183, 0, 0)","(183, 0, 99)",1,0.03,0.03,1,90.0,0.06,183,0,0,183,0,99
184,"(184, 0, 0)","(184, 0, 99)",1,0.03,0.03,1,90.0,0.06,184,0,0,184,0,99
185,"(185, 0, 0)","(185, 0, 99)",1,0.03,0.03,1,90.0,0.06,185,0,0,185,0,99
186,"(186, 0, 0)","(186, 0, 99)",1,0.03,0.03,1,90.0,0.06,186,0,0,186,0,99
187,"(187, 0, 0)","(187, 0, 99)",1,0.03,0.03,1,90.0,0.06,187,0,0,187,0,99
188,"(188, 0, 0)","(188, 0, 99)",1,0.03,0.03,1,90.0,0.06,188,0,0,188,0,99
189,"(189, 0, 0)","(189, 0, 99)",1,0.03,0.03,1,90.0,0.06,189,0,0,189,0,99
