time,X008
788.0000000000,0.5767730506E-02
789.0000000000,0.5743474060E-02
790.0000000000,0.5719302016E-02
791.0000000000,0.5695214260E-02
792.0000000000,0.5671210677E-02
793.0000000000,0.5647291150E-02
794.0000000000,0.5623455558E-02
795.0000000000,0.5599703780E-02
796.0000000000,0.5576035694E-02
797.0000000000,0.5552451172E-02
798.0000000000,0.5528950089E-02
799.0000000000,0.5505532315E-02
800.0000000000,0.5482197720E-02
801.0000000000,0.5458946171E-02
802.0000000000,0.5435777533E-02
803.0000000000,0.5412691670E-02
804.0000000000,0.5389688446E-02
805.0000000000,0.5366767720E-02
806.0000000000,0.5343929351E-02
807.0000000000,0.5321173197E-02
808.0000000000,0.5298499114E-02
809.0000000000,0.5275906955E-02
810.0000000000,0.5253396575E-02
811.0000000000,0.5230967823E-02
812.0000000000,0.5208620550E-02
813.0000000000,0.5186354605E-02
