time,elapsed_seconds,message
08:22:27,7.8e-06,starting REDSVD
08:22:27,1.26e-05,retrieving REDSVD components
08:22:27,1.01e-05,triming REDSVD components to 1elements
08:22:27,8.4e-06,done REDSVD
08:22:27,7.7e-06,SVD factorization complete
08:22:27,7.53e-05,commencing linear algebra multiplication to compute ugrade
08:22:27,1.1e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.05e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.01e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:27,2.37e-05,linear algebra multiplication to compute ugrade complete
08:22:27,1.4e-05,commencing check of parameter bounds and gradients
08:22:27,1.53e-05,commencing calculation of upgrade vector
08:22:27,0.0004474,forming JtQJ matrix
08:22:27,1.7e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,8.4e-06,starting REDSVD
08:22:27,1.27e-05,retrieving REDSVD components
08:22:27,1.04e-05,triming REDSVD components to 1elements
08:22:27,8.5e-06,done REDSVD
08:22:27,1.26e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,7.8e-06,JS
08:22:27,8.7e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:27,1.59e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:27,7.6e-06,starting REDSVD
08:22:27,1.26e-05,retrieving REDSVD components
08:22:27,9.9e-06,triming REDSVD components to 1elements
08:22:27,8.2e-06,done REDSVD
08:22:27,7.6e-06,SVD factorization complete
08:22:27,7.19e-05,commencing linear algebra multiplication to compute ugrade
08:22:27,1.07e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.05e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:27,2.07e-05,linear algebra multiplication to compute ugrade complete
08:22:27,1.19e-05,commencing check of parameter bounds
08:22:27,8.6e-06,limiting out of bounds pars
08:22:27,1.51e-05,change limit/bound enforement for lambda 0.1: ,, scaling factor: 1
08:22:27,8.1e-06,checking for denormal floating point values
08:22:27,9.6e-06,transforming upgrade pars to model pars
08:22:27,1.24e-05,writing upgrade vector to csv file
08:22:27,0.0005669,beginning upgrade vector calculations, lambda = 1
08:22:27,6.76e-05,commencing calculation of upgrade vector
08:22:27,0.0004594,forming JtQJ matrix
08:22:27,2.02e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,8.6e-06,starting REDSVD
08:22:27,1.34e-05,retrieving REDSVD components
08:22:27,1.1e-05,triming REDSVD components to 1elements
08:22:27,8.6e-06,done REDSVD
08:22:27,1.28e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,7.9e-06,JS
08:22:27,9.4e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:27,1.66e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.3e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:27,7.6e-06,starting REDSVD
08:22:27,1.21e-05,retrieving REDSVD components
08:22:27,1.01e-05,triming REDSVD components to 1elements
08:22:27,8.4e-06,done REDSVD
08:22:27,7.9e-06,SVD factorization complete
08:22:27,0.0001201,commencing linear algebra multiplication to compute ugrade
08:22:27,1.18e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.05e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:27,2.98e-05,linear algebra multiplication to compute ugrade complete
08:22:27,1.59e-05,commencing check of parameter bounds and gradients
08:22:27,1.59e-05,commencing calculation of upgrade vector
08:22:27,0.000444,forming JtQJ matrix
08:22:27,1.66e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,8.4e-06,starting REDSVD
08:22:27,1.3e-05,retrieving REDSVD components
08:22:27,1.05e-05,triming REDSVD components to 1elements
08:22:27,8.6e-06,done REDSVD
08:22:27,1.29e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,7.9e-06,JS
08:22:27,8.8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:27,1.59e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.6e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:27,7.5e-06,starting REDSVD
08:22:27,1.2e-05,retrieving REDSVD components
08:22:27,1e-05,triming REDSVD components to 1elements
08:22:27,8.3e-06,done REDSVD
08:22:27,7.9e-06,SVD factorization complete
08:22:27,7.26e-05,commencing linear algebra multiplication to compute ugrade
08:22:27,1.15e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.01e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,9.9e-06,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:27,2.07e-05,linear algebra multiplication to compute ugrade complete
08:22:27,1.19e-05,commencing check of parameter bounds
08:22:27,8.8e-06,limiting out of bounds pars
08:22:27,1.49e-05,change limit/bound enforement for lambda 1: ,, scaling factor: 1
08:22:27,8.1e-06,checking for denormal floating point values
08:22:27,9.4e-06,transforming upgrade pars to model pars
08:22:27,1.22e-05,writing upgrade vector to csv file
08:22:27,0.0007258,beginning upgrade vector calculations, lambda = 10
08:22:27,6.34e-05,commencing calculation of upgrade vector
08:22:27,0.0004572,forming JtQJ matrix
08:22:27,2.04e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,8.6e-06,starting REDSVD
