obsnme,obsval,weight,obgnme,datetime,oname,otype,usecol
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-12-02,34.21552467,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2022-01-02,34.2900978,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2022-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-01-02,34.37058368,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-02-02,34.48350744,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-03-02,34.66749413,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-04-02,34.88635817,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-05-02,35.0648506,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-06-02,35.15777263,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-07-02,35.13297687,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-08-02,34.99234552,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-09-02,34.77569942,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-10-02,34.54645874,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-11-02,34.35405893,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-11-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2020-12-02,34.26021254,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2020-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-01-02,34.28554757,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-02-02,34.42180777,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-03-02,34.61592746,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-04-02,34.85060177,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-05-02,35.03689021,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-06-02,35.13484237,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-07-02,35.11411595,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-08-02,34.97559961,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-09-02,34.76075938,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-10-02,34.53400778,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-11-02,34.34464784,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-11-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2021-12-02,34.2538331,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2021-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_21_10_datetime:2022-01-02,34.33207124,1.0,oname:hds_otype:lst_usecol:trgw_0_21_10,2022-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-01-02,34.1367508,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-02-02,34.21721189,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-03-02,34.34400487,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-04-02,34.49006418,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-05-02,34.60519167,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-06-02,34.65953846,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-07-02,34.63380221,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_22_15_datetime:2020-08-02,34.53182267,1.0,oname:hds_otype:lst_usecol:trgw_0_22_15,2020-08-02,hds,lst,trgw
