,q,x,y,boundname,screen_top,screen_botm,enddatetime,datetime,laymidpt
124,0.0,1519849.0033,5032401.9993,sc_bonf__0,105.82657623,69.69541168,2022-12-31,2021-01-01,87.760993955
125,0.0,1520684.9963,5030705.9958,6__0,103.37138367,60.48443985,2022-12-31,2021-01-01,81.92791176
126,0.0,1520590.0002,5030832.9966,77__0,101.97993469,61.71214676,2022-12-31,2021-01-01,81.846040725
127,0.0,1520457.0006,5030728.9917,78__0,103.66445923,61.15302658,2022-12-31,2021-01-01,82.408742905
128,0.0,1520370.0037,5030729.995,81__0,103.2820282,61.51768112,2022-12-31,2021-01-01,82.39985466
129,-0.0035,1516905.0028,5033255.9986,5814/1__0,112.15606689,65.06850433,2022-12-31,2021-01-01,88.61228561
130,0.0,1516905.0028,5033255.9986,5814/2__0,112.15606689,65.06850433,2022-12-31,2021-01-01,88.61228561
131,0.0,1518721.519,5031460.3038,p3_s2__0,106.59443665,63.76841736,2022-12-31,2021-01-01,85.181427005
132,0.0,1518730.2706,5031461.8262,p2_s2__0,106.59443665,63.76841736,2022-12-31,2021-01-01,85.181427005
133,0.0,1518734.9061,5031458.942,p1_s2__0,106.59443665,63.76841736,2022-12-31,2021-01-01,85.181427005
134,0.0,1518792.863,5031402.4551,r1_s2__0,104.08330536,63.69607544,2022-12-31,2021-01-01,83.8896904
135,0.0,1518789.6421,5031398.5499,r2_s2__0,104.08330536,63.69607544,2022-12-31,2021-01-01,83.8896904
136,0.0,1518784.7003,5031392.577,r3_s2__0,104.08330536,63.69607544,2022-12-31,2021-01-01,83.8896904
137,0.0,1518781.4843,5031388.6936,r4_s2__0,102.55672455,63.63256073,2022-12-31,2021-01-01,83.09464264
138,-0.0095,1520751.9961,5032391.9959,19/16__0,103.56208801,66.87348175,2022-12-31,2021-01-01,85.21778488
139,-0.0095,1520458.9982,5032383.9957,19/18__0,104.6832962,68.13028717,2022-12-31,2021-01-01,86.406791685
140,-0.0095,1520823.9999,5032383.9976,19/19__0,103.91210938,66.63584137,2022-12-31,2021-01-01,85.27397537499999
141,-0.0095,1520653.0013,5032404.9929,19/20__0,104.02419281,67.29175568,2022-12-31,2021-01-01,85.65797424499999
142,-0.0095,1520382.003,5032502.9936,19/21__0,103.00206757,68.493927,2022-12-31,2021-01-01,85.747997285
51,-0.005,1518019.0028,5032595.9946,636__0,110.0019989,65.35330963,2022-12-31,2022-01-01,87.677654265
52,-0.005,1518020.0022,5032741.9932,637__0,110.50395966,65.55992126,2022-12-31,2022-01-01,88.03194046
53,-0.02,1519684.0051,5033258.9992,826__0,107.81092072,70.85401917,2022-12-31,2022-01-01,89.332469945
54,-0.0214,1519133.9997,5033304.9972,828__0,107.7279892,71.63817596,2022-12-31,2022-01-01,89.68308257999999
55,-0.003,1518029.0029,5032427.9935,830__0,109.74568176,65.14716339,2022-12-31,2022-01-01,87.446422575
56,-0.05,1519631.001,5033315.9995,833__0,107.49346924,71.22814941,2022-12-31,2022-01-01,89.36080932499999
59,-0.005,1519820.0039,5032380.0003,2503__0,105.78554535,69.65901184,2022-12-31,2022-01-01,87.722278595
61,-0.01,1517747.0035,5032975.0001,2550__0,110.89460754,65.33467102,2022-12-31,2022-01-01,88.11463928
62,-0.008,1517591.9992,5032844.9996,2551__0,110.55115509,65.52301788,2022-12-31,2022-01-01,88.037086485
63,-0.012,1517866.0036,5032951.9955,2559__0,110.35852814,65.44393158,2022-12-31,2022-01-01,87.90122986
64,-0.0225,1519004.9995,5033871.9914,4740__0,109.94715881,72.90441895,2022-12-31,2022-01-01,91.42578888
65,-0.0225,1519003.9995,5033866.9909,4741__0,109.94715881,72.90441895,2022-12-31,2022-01-01,91.42578888
