X	Y	default	
555786.25936255	395113.54842231	350.35189819336	
555821.06266504	395113.73704751	349.62829589844	
555855.86596761	395113.92585607	347.78845214844	
555890.66927025	395114.11484799	348.22253417969	
555925.47257296	395114.30402328	349.56857299805	
555960.27587575	395114.49338192	349.48361206055	
555995.07917861	395114.68292394	347.9264831543	
556029.88248154	395114.87264931	345.75378417969	
556064.68578455	395115.06255805	343.68930053711	
556099.48908763	395115.25265015	343.15246582031	
556134.29239079	395115.44292561	343.40713500977	
556169.09569402	395115.63338443	343.55416870117	
556203.89899732	395115.82402662	342.91625976562	
556238.7023007	395116.01485217	341.7389831543	
556273.50560415	395116.20586109	340.5690612793	
556308.30890768	395116.39705336	339.64901733398	
556343.11221128	395116.588429	338.78237915039	
556377.91551496	395116.77998801	338.41033935547	
556412.71881871	395116.97173037	338.7326965332	
556447.52212254	395117.1636561	337.92657470703	
556482.32542644	395117.3557652	336.38467407227	
556517.12873041	395117.54805765	334.41073608398	
556551.93203446	395117.74053347	332.30682373047	
556586.73533858	395117.93319265	330.52737426758	
556621.53864278	395118.1260352	329.65020751953	
556656.34194706	395118.31906111	329.21841430664	
556691.14525141	395118.51227038	328.04183959961	
556725.94855584	395118.70566302	325.77133178711	
556760.75186034	395118.89923902	322.71527099609	
556795.55516491	395119.09299838	319.73071289062	
556830.35846956	395119.2869411	317.40414428711	
556865.16177429	395119.48106719	315.62042236328	
556899.96507909	395119.67537665	313.80493164062	
556934.76838397	395119.86986946	313.02581787109	
556969.57168892	395120.06454564	313.2451171875	
557004.37499395	395120.25940518	313.60037231445	
557039.17829906	395120.45444809	314.04525756836	
557073.98160424	395120.64967436	315.04010009766	
557108.7849095	395120.845084	316.41732788086	
557143.58821483	395121.04067699	316.64007568359	
557178.39152024	395121.23645335	313.47198486328	
557213.19482573	395121.43241308	311.10134887695	
557247.99813129	395121.62855617	312.50506591797	
557282.80143693	395121.82488262	316.36633300781	
