name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3804.5,36.2798,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3834.5,36.2709,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3865.5,36.239,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3896.5,36.1712,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3926.5,35.9815,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3957.5,35.7567,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3987.5,35.5497,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4018.5,35.4083,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4049.5,35.3527,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4077.5,35.3966,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4108.5,35.4732,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4138.5,35.5713,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4169.5,35.6781,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4199.5,35.7542,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:4230.5,35.7912,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
