,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:4_x:1125.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:4_x:1125.00_y:9375.00_zone:1,38.79304,2,4,1125.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:5_x:1375.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:5_x:1375.00_y:9375.00_zone:1,38.514,2,5,1375.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:6_x:1625.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:6_x:1625.00_y:9375.00_zone:1,38.17374,2,6,1625.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:7_x:1875.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:7_x:1875.00_y:9375.00_zone:1,37.87084,2,7,1875.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:8_x:2125.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:8_x:2125.00_y:9375.00_zone:1,37.52058,2,8,2125.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:9_x:2375.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:9_x:2375.00_y:9375.00_zone:1,37.17212,2,9,2375.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:10_x:2625.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:10_x:2625.00_y:9375.00_zone:1,36.83072,2,10,2625.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:11_x:2875.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:11_x:2875.00_y:9375.00_zone:1,36.51499,2,11,2875.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:12_x:3125.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:12_x:3125.00_y:9375.00_zone:1,36.1822,2,12,3125.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:13_x:3375.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:13_x:3375.00_y:9375.00_zone:1,35.83409,2,13,3375.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:14_x:3625.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:14_x:3625.00_y:9375.00_zone:1,35.48026,2,14,3625.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
