,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
629,"(1, 11, 2)","(5, 14, 0)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,2,5,14,0
630,"(2, 10, 2)","(5, 14, 0)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,14,0
631,"(1, 11, 2)","(5, 14, 1)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,2,5,14,1
632,"(2, 10, 2)","(5, 14, 1)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,14,1
633,"(1, 11, 2)","(5, 14, 2)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,2,5,14,2
634,"(2, 10, 2)","(5, 14, 2)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,14,2
635,"(1, 11, 3)","(5, 14, 3)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,3,5,14,3
636,"(2, 10, 3)","(5, 14, 3)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,14,3
637,"(1, 11, 3)","(5, 14, 4)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,3,5,14,4
638,"(2, 10, 3)","(5, 14, 4)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,14,4
639,"(1, 11, 3)","(5, 14, 5)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,3,5,14,5
640,"(2, 10, 3)","(5, 14, 5)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,14,5
641,"(1, 11, 4)","(5, 14, 6)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,4,5,14,6
642,"(2, 10, 4)","(5, 14, 6)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,14,6
643,"(1, 11, 4)","(5, 14, 7)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,4,5,14,7
644,"(2, 10, 4)","(5, 14, 7)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,14,7
645,"(1, 11, 4)","(5, 14, 8)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,4,5,14,8
646,"(2, 10, 4)","(5, 14, 8)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,14,8
647,"(1, 11, 5)","(5, 14, 9)",2,34.313331604003906,11.437777201334635,34.313334147135414,1,11,5,5,14,9
648,"(2, 10, 5)","(5, 14, 9)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,14,9
